cluster_id,convex_hull
81.0,"[[45.781429, 4.963951], [45.773286, 4.958141], [45.774909, 4.954372], [45.775455, 4.953911], [45.77565, 4.953954], [45.785182, 4.959533]]"
82.0,"[[45.816618, 4.888273], [45.815804, 4.88545], [45.816014, 4.881295], [45.822166, 4.8805], [45.820091, 4.887894], [45.817688, 4.888273]]"
83.0,"[[45.682723, 4.917991], [45.686213, 4.915008], [45.685666, 4.916666], [45.678888, 4.925277], [45.679255, 4.924516]]"
84.0,"[[45.749303, 4.822096], [45.750246, 4.821732], [45.751611, 4.822141], [45.752313, 4.823126], [45.752611, 4.823552], [45.753016, 4.824607], [45.751919, 4.824872], [45.75092, 4.8248], [45.749266, 4.823544], [45.748929, 4.823223], [45.748966, 4.822579]]"
85.0,"[[45.766718, 4.914214], [45.761191, 4.907536], [45.768301, 4.903056], [45.770644, 4.902958], [45.770686, 4.90325], [45.768652, 4.912272]]"
86.0,"[[45.789, 4.792333], [45.79012, 4.796926], [45.789447, 4.797356], [45.787307, 4.797654], [45.783172, 4.797913], [45.784166, 4.794166], [45.786805, 4.790672]]"
87.0,"[[45.829616, 4.956405], [45.824485, 4.963974], [45.822333, 4.962166], [45.821831, 4.953471], [45.827946, 4.949469], [45.828613, 4.950088], [45.828814, 4.950724]]"
88.0,"[[45.756111, 4.832222], [45.7563, 4.831848], [45.756804, 4.830862], [45.756913, 4.830863], [45.756999, 4.830905], [45.758078, 4.831453], [45.758361, 4.831602], [45.758414, 4.831634], [45.758663, 4.831802], [45.758711, 4.832048], [45.75875, 4.832525], [45.758533, 4.832808], [45.7585, 4.832833], [45.758122, 4.832793], [45.75775, 4.832702], [45.757435, 4.832621], [45.756667, 4.832416]]"
89.0,"[[45.726172, 4.77828], [45.729408, 4.770491], [45.73413, 4.77424], [45.740527, 4.780468], [45.731172, 4.783355], [45.726506, 4.780147], [45.726261, 4.778833], [45.726196, 4.778441]]"
90.0,"[[45.729605, 4.86828], [45.723891, 4.863666], [45.723897, 4.863652], [45.723952, 4.863627], [45.73357, 4.86237], [45.734358, 4.86263], [45.734687, 4.863284], [45.734021, 4.866846], [45.732497, 4.867796]]"
91.0,"[[45.741651, 4.907455], [45.739147, 4.905077], [45.7436, 4.90335], [45.744722, 4.903333]]"
92.0,"[[45.731991, 4.845108], [45.736642, 4.843286], [45.738883, 4.844705], [45.740023, 4.845432], [45.739117, 4.846837], [45.736979, 4.84939], [45.733954, 4.848425]]"
93.0,"[[45.696129, 4.857209], [45.696068, 4.852159], [45.703244, 4.848624], [45.705864, 4.852201], [45.706044, 4.852706]]"
94.0,"[[45.766991, 4.828094], [45.767075, 4.827711], [45.767487, 4.826484], [45.76765, 4.826345], [45.767666, 4.826334], [45.767888, 4.826338], [45.769386, 4.827268], [45.769738, 4.827504], [45.769783, 4.827954], [45.769791, 4.828275], [45.769708, 4.828512], [45.769313, 4.828825], [45.768742, 4.829038], [45.768248, 4.829187], [45.767852, 4.82907], [45.767762, 4.829006], [45.767219, 4.828513]]"
95.0,"[[45.771883, 4.800236], [45.770552, 4.804088], [45.766075, 4.804329], [45.763825, 4.803171], [45.762999, 4.801652], [45.762833, 4.800833], [45.765683, 4.799452], [45.771466, 4.799834]]"
96.0,"[[45.782497, 4.899808], [45.780933, 4.895978], [45.78207, 4.8934], [45.784546, 4.892488], [45.787157, 4.892499], [45.787846, 4.894151], [45.788474, 4.896919], [45.785131, 4.899676]]"
97.0,"[[45.764238, 4.836816], [45.76384, 4.837138], [45.763103, 4.836977], [45.762455, 4.836752], [45.762244, 4.836669], [45.762201, 4.836494], [45.762251, 4.835983], [45.762324, 4.835601], [45.762426, 4.835485], [45.763375, 4.835204], [45.764199, 4.835357], [45.764207, 4.835368], [45.764229, 4.835422], [45.7643, 4.835725], [45.764327, 4.835955], [45.764309, 4.836401]]"
98.0,"[[45.755005, 4.878979], [45.753323, 4.876867], [45.754302, 4.873275], [45.7548, 4.872775], [45.756216, 4.871891], [45.758653, 4.872436], [45.759411, 4.874172], [45.757333, 4.877666]]"
99.0,"[[45.798932, 4.811496], [45.792091, 4.807577], [45.792388, 4.806274], [45.797915, 4.802366], [45.802795, 4.799298], [45.804791, 4.802836]]"
100.0,"[[45.782504, 4.879206], [45.781232, 4.875923], [45.781321, 4.875547], [45.78189, 4.874925], [45.783132, 4.874593], [45.784, 4.874597], [45.784505, 4.875086], [45.785384, 4.877296]]"
101.0,"[[45.76985, 4.815648], [45.769805, 4.81803], [45.769064, 4.818513], [45.768263, 4.818838], [45.768027, 4.818783], [45.767537, 4.81862], [45.766699, 4.817955], [45.76651, 4.817558], [45.766654, 4.816678], [45.766916, 4.815691], [45.767096, 4.815305], [45.767942, 4.814972], [45.769573, 4.815477]]"
102.0,"[[45.759648, 4.834714], [45.759409, 4.834295], [45.759213, 4.833875], [45.75896, 4.833265], [45.75902, 4.833158], [45.760217, 4.832718], [45.760666, 4.832667], [45.761161, 4.833133], [45.761205, 4.83319], [45.761782, 4.834038], [45.761757, 4.834196], [45.761661, 4.834472], [45.761116, 4.834606]]"
103.0,"[[45.746371, 4.885534], [45.74946, 4.883991], [45.751177, 4.884952], [45.751662, 4.887907], [45.750243, 4.889028], [45.749133, 4.888144]]"
104.0,"[[45.782299, 4.815184], [45.785048, 4.815252], [45.785227, 4.815573], [45.786719, 4.821777], [45.781088, 4.821283], [45.780997, 4.820647], [45.78213, 4.815377]]"
105.0,"[[45.758625, 4.820252], [45.757867, 4.819929], [45.758294, 4.817429], [45.75896, 4.817225], [45.760532, 4.81685], [45.760502, 4.81877], [45.760161, 4.8192], [45.760083, 4.819275], [45.759841, 4.8195], [45.759416, 4.819886], [45.759106, 4.820111], [45.75888, 4.820247]]"
106.0,"[[45.750167, 4.8455], [45.749846, 4.844478], [45.750696, 4.843876], [45.752058, 4.843838], [45.753151, 4.844584], [45.753265, 4.844852], [45.753001, 4.846376], [45.752, 4.847166], [45.751819, 4.847057], [45.750833, 4.846166]]"
107.0,"[[45.698166, 4.978166], [45.698505, 4.977788], [45.704166, 4.984444], [45.706452, 4.98718], [45.705263, 4.991608], [45.705188, 4.991627], [45.705055, 4.991644], [45.704994, 4.991613], [45.704838, 4.991441]]"
108.0,"[[45.806944, 4.973333], [45.80677, 4.971377], [45.80683, 4.97113], [45.807877, 4.971034], [45.810053, 4.972641], [45.811751, 4.975605], [45.811953, 4.977053], [45.811886, 4.977107]]"
109.0,"[[45.685477, 4.807537], [45.692916, 4.805874], [45.702043, 4.80978], [45.70475, 4.813099], [45.704605, 4.813405], [45.699883, 4.81395]]"
110.0,"[[45.745122, 4.81255], [45.745372, 4.813777], [45.744818, 4.81552], [45.7435, 4.816669], [45.743119, 4.816989], [45.742812, 4.816968], [45.742685, 4.816904], [45.742519, 4.816752], [45.741973, 4.816249], [45.741673, 4.815948], [45.741621, 4.815884], [45.741863, 4.815397], [45.74237, 4.8145], [45.743138, 4.8138]]"
111.0,"[[45.753046, 4.836076], [45.753913, 4.835713], [45.754667, 4.836667], [45.754873, 4.838232], [45.754843, 4.838265], [45.754723, 4.83834], [45.752986, 4.839241], [45.752373, 4.839348], [45.751636, 4.838781], [45.751277, 4.838266], [45.751175, 4.837866], [45.751194, 4.837841], [45.751897, 4.837127], [45.752328, 4.83672], [45.75235, 4.8367]]"
112.0,"[[45.763333, 4.920277], [45.764186, 4.916821], [45.766722, 4.915738], [45.766955, 4.916961], [45.766941, 4.917438], [45.765333, 4.923733], [45.76491, 4.923419], [45.763715, 4.922377]]"
113.0,"[[45.723633, 4.817311], [45.724297, 4.813669], [45.729616, 4.809397], [45.731055, 4.813599], [45.731132, 4.81411], [45.73108, 4.814283], [45.730846, 4.814876], [45.730186, 4.815819], [45.72945, 4.816549], [45.728897, 4.816713]]"
114.0,"[[45.75896, 4.857759], [45.760363, 4.856976], [45.761453, 4.857153], [45.761616, 4.857269], [45.761909, 4.858124], [45.761983, 4.858391], [45.762014, 4.859218], [45.761355, 4.859218], [45.760661, 4.859208], [45.759961, 4.858958], [45.759449, 4.858449]]"
115.0,
116.0,"[[45.704081, 4.872146], [45.713259, 4.867458], [45.715837, 4.86993], [45.7158, 4.871041], [45.709685, 4.873509]]"
117.0,"[[45.736944, 4.795555], [45.7375, 4.794722], [45.737222, 4.795555]]"
118.0,"[[45.749314, 4.854755], [45.749011, 4.853543], [45.749892, 4.85246], [45.752183, 4.851602], [45.752714, 4.851772], [45.752904, 4.851912], [45.753177, 4.852116], [45.753666, 4.8525], [45.754173, 4.853524], [45.752275, 4.855144], [45.751085, 4.855924], [45.750741, 4.855785]]"
119.0,"[[45.763255, 4.879027], [45.763166, 4.878], [45.763556, 4.87721], [45.764095, 4.876824], [45.766145, 4.877087], [45.767126, 4.877913], [45.768039, 4.878777], [45.768233, 4.879142], [45.768241, 4.879431], [45.768188, 4.880225], [45.766411, 4.8811], [45.764903, 4.88177], [45.764783, 4.881813], [45.764297, 4.881953]]"
120.0,"[[45.73525, 4.831788], [45.736238, 4.833991], [45.735646, 4.835046], [45.735211, 4.835775], [45.7325, 4.837], [45.731711, 4.835819], [45.732898, 4.832925], [45.734043, 4.832278]]"
